"RMSE","R2","cluster","r.e.","model"
1875.705778757,0.229308136761911,"Cluster 1","no random effect","MGMT"
1790.44306994243,0.226337982965018,"Cluster 1","no random effect","MGMT"
1779.18937573344,0.203270530519203,"Cluster 1","no random effect","MGMT"
1848.45038167286,0.200023997809779,"Cluster 1","no random effect","MGMT"
1791.55841808693,0.211765813489068,"Cluster 1","no random effect","MGMT"
1862.38810998435,0.211185808205585,"Cluster 1","no random effect","MGMT"
1853.9329539175,0.27012554995765,"Cluster 1","no random effect","MGMT"
1756.92582332219,0.214398413333395,"Cluster 1","no random effect","MGMT"
1722.1037288096,0.200495675660104,"Cluster 1","no random effect","MGMT"
1820.8197337069,0.269295829841662,"Cluster 1","no random effect","MGMT"
1865.5354406475,0.222435016626063,"Cluster 1","no random effect","MGMT"
1859.4865213361,0.199681170044201,"Cluster 1","no random effect","MGMT"
